cycle,data_type,entropy_values
0,natural,2.0809378623962402
0,natural,4.284662246704102
0,natural,4.953386306762695
0,natural,2.7246317863464355
0,natural,3.4911770820617676
0,natural,0.009804943576455116
0,natural,3.438493251800537
0,natural,3.8840394020080566
0,natural,4.624912261962891
0,natural,4.447929859161377
0,natural,0.033541612327098846
0,natural,0.1050947904586792
0,natural,0.0644325464963913
0,natural,1.2319170236587524
0,natural,0.0010390231618657708
0,natural,2.065718650817871
0,natural,4.3782501220703125
0,natural,1.1164559125900269
0,natural,0.6008001565933228
0,natural,0.5546339154243469
0,natural,2.6328601837158203
0,natural,0.004462758079171181
0,natural,0.000951455847825855
0,natural,2.075613260269165
0,natural,2.034001588821411
0,natural,0.18697181344032288
0,natural,0.5776777267456055
0,natural,2.4016335010528564
0,natural,0.9871705174446106
0,natural,1.2614936828613281
0,natural,0.09532846510410309
0,natural,1.9600590467453003
0,natural,4.417695999145508
0,natural,4.831655979156494
0,natural,1.6833248138427734
0,natural,4.115728378295898
0,natural,1.5323500633239746
0,natural,0.7756134271621704
0,natural,0.020454365760087967
0,natural,1.5610682964324951
0,natural,0.06028538942337036
0,natural,1.1559957265853882
0,natural,5.148221015930176
0,natural,0.08250615000724792
0,natural,0.49180343747138977
0,natural,1.5000383853912354
0,natural,0.001244661514647305
0,natural,2.9535415172576904
0,natural,0.0005703264032490551
0,natural,3.7893424034118652
0,natural,0.0724848210811615
0,natural,0.41107773780822754
0,natural,4.445644378662109
0,natural,0.0020655570551753044
0,natural,0.018216516822576523
0,natural,3.4601104259490967
0,natural,2.6555047035217285
0,natural,0.3990740180015564
0,natural,2.991366147994995
0,natural,5.359257698059082
0,natural,0.7197637557983398
0,natural,1.6333630084991455
0,natural,4.079103946685791
0,natural,6.334702491760254
0,natural,1.7156068086624146
0,natural,3.033588171005249
0,natural,2.817809820175171
0,natural,0.08411012589931488
0,natural,4.322000026702881
0,natural,4.060539245605469
0,natural,4.334738254547119
0,natural,0.0058577824383974075
0,natural,0.5348559617996216
0,natural,2.142580509185791
0,natural,2.129077196121216
0,natural,1.2941912412643433
0,natural,4.877324104309082
0,natural,4.558678150177002
0,natural,1.3478143215179443
0,natural,0.12092691659927368
0,natural,5.094707489013672
0,natural,0.010549570433795452
0,natural,4.55426025390625
0,natural,1.798959493637085
0,natural,1.5327661037445068
0,natural,2.8909599781036377
0,natural,4.432501316070557
0,natural,3.0511972904205322
0,natural,3.761814594268799
0,natural,2.381502151489258
0,natural,0.05653420835733414
0,natural,0.17428484559059143
0,natural,3.6839914321899414
0,natural,0.18599998950958252
0,natural,4.2021026611328125
0,natural,1.54671311378479
0,natural,1.840106725692749
0,natural,5.00984001159668
0,natural,0.0001071866718120873
0,natural,2.0095834732055664
0,natural,2.7825489044189453
0,natural,0.0038952906616032124
0,natural,3.2248787879943848
0,natural,4.645299911499023
0,natural,1.8577507734298706
0,natural,0.004335963167250156
0,natural,0.18161055445671082
0,natural,4.881162643432617
0,natural,5.022852420806885
0,natural,4.225946426391602
0,natural,4.873327255249023
0,natural,4.315443515777588
0,natural,3.853884696960449
0,natural,2.05487060546875
0,natural,3.662184000015259
0,natural,1.0951485633850098
0,natural,0.026634864509105682
0,natural,3.441342830657959
0,natural,4.140890598297119
0,natural,2.4752893447875977
0,natural,0.1461862325668335
0,natural,3.199742078781128
0,natural,3.3757174015045166
0,natural,1.7830606698989868
0,natural,3.9294896125793457
0,natural,2.1992578506469727
0,natural,3.035679340362549
0,natural,2.5793440341949463
0,natural,5.312344074249268
0,natural,0.18261471390724182
0,natural,4.572951316833496
0,natural,3.506218910217285
0,natural,4.355678081512451
0,natural,6.310789585113525
0,natural,0.010625474154949188
0,natural,0.003680470632389188
0,natural,3.1452159881591797
0,natural,3.150235176086426
0,natural,1.6424167156219482
0,natural,0.18402637541294098
0,natural,0.04772809520363808
0,natural,6.196463584899902
0,natural,1.650123119354248
0,natural,3.5469136238098145
0,natural,3.738661289215088
0,natural,4.3608317375183105
0,natural,0.766144335269928
0,natural,0.46598178148269653
0,natural,2.1838314533233643
0,natural,1.492013931274414
0,natural,0.7137937545776367
0,natural,2.827408790588379
0,natural,2.5393242835998535
0,natural,4.554040431976318
0,natural,0.20286473631858826
0,natural,2.1211659908294678
0,natural,0.05420040339231491
0,natural,0.001455972669646144
0,natural,0.07882964611053467
0,natural,2.727119207382202
0,natural,3.9425692558288574
0,natural,2.1849141120910645
0,natural,3.146909236907959
0,natural,4.507993698120117
0,natural,0.043635044246912
0,natural,1.315534234046936
0,natural,0.2554548978805542
0,natural,0.7707780003547668
0,natural,1.9783047437667847
0,natural,4.344991683959961
0,natural,3.628866195678711
0,natural,1.4734293222427368
